"Top Level Domain","U-Label","Translation","Agreement Type","Operator","Agreement Status","Agreement Date","Link"
"emerson",,,"Base, Brand (Spec 13), Non-Sponsored","Emerson Electric Co.","terminated","23 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/emerson"
"energy",,,"Base, Non-Sponsored","Binky Moon, LLC","active","11 Sep 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/energy"
"engineer",,,"Base, Non-Sponsored","Dog Beach, LLC","active","6 Mar 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/engineer"
"engineering",,,"Base, Non-Sponsored","Binky Moon, LLC","active","6 Mar 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/engineering"
"enterprises",,,"Base, Non-Sponsored","Binky Moon, LLC","active","20 Sep 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/enterprises"
"epost",,,"Base, Brand (Spec 13), Non-Sponsored","Deutsche Post AG","terminated","23 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/epost"
"epson",,,"Base, Brand (Spec 13), Non-Sponsored","Seiko Epson Corporation","active","4 Dec 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/epson"
"equipment",,,"Base, Non-Sponsored","Binky Moon, LLC","active","27 Aug 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/equipment"
"ericsson",,,"Base, Brand (Spec 13), Non-Sponsored","Telefonaktiebolaget L M Ericsson","active","9 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/ericsson"
"erni",,,"Base, Non-Sponsored","ERNI Group Holding AG","active","3 Apr 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/erni"
"esq",,,"Base, Non-Sponsored","Charleston Road Registry Inc.","active","8 May 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/esq"
"estate",,,"Base, Non-Sponsored","Binky Moon, LLC","active","27 Aug 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/estate"
"esurance",,,"Base, Brand (Spec 13), Non-Sponsored","Esurance Insurance Company","terminated","23 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/esurance"
"etisalat",,,"Base, Brand (Spec 13), Non-Sponsored","Emirates Telecommunications Corporation (trading as Etisalat)","terminated","3 Sep 2015","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/etisalat"
"eurovision",,,"Base, Brand (Spec 13), Non-Sponsored","European Broadcasting Union (EBU)","active","24 Apr 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/eurovision"
"eus",,,"Base, Community (Spec 12), Non-Sponsored","Puntueus Fundazioa","active","12 Dec 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/eus"
"events",,,"Base, Non-Sponsored","Binky Moon, LLC","active","5 Dec 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/events"
